Date,FTSE
2024-04-03,7937.44
2024-04-02,7935.09
2024-03-28,7952.62
2024-03-27,7931.98
2024-03-26,7930.96
2024-03-25,7917.57
2024-03-22,7930.92
2024-03-21,7882.55
2024-03-20,7737.38
2024-03-19,7738.3
2024-03-18,7722.55
2024-03-15,7727.42
2024-03-14,7743.15
2024-03-13,7772.17
2024-03-12,7747.81
2024-03-11,7669.23
2024-03-08,7659.74
2024-03-07,7692.46
2024-03-06,7679.31
2024-03-05,7646.16
2024-03-04,7640.33
2024-03-01,7682.5
2024-02-29,7630.02
2024-02-28,7624.98
2024-02-27,7683.02
2024-02-26,7684.3
2024-02-23,7706.28
2024-02-22,7684.49
2024-02-21,7662.51
2024-02-20,7719.21
2024-02-19,7728.5
2024-02-16,7711.71
2024-02-15,7597.53
2024-02-14,7568.4
2024-02-13,7512.28
2024-02-12,7573.69
2024-02-09,7572.58
2024-02-08,7595.48
2024-02-07,7628.75
2024-02-06,7681.01
2024-02-05,7612.86
2024-02-02,7615.54
2024-02-01,7622.16
2024-01-31,7630.57
2024-01-30,7666.31
2024-01-29,7632.74
2024-01-26,7635.09
2024-01-25,7529.73
2024-01-24,7527.67
2024-01-23,7485.73
2024-01-22,7487.71
2024-01-19,7461.93
2024-01-18,7459.09
2024-01-17,7446.29
2024-01-16,7558.34
2024-01-15,7594.91
2024-01-12,7624.93
2024-01-11,7576.59
2024-01-10,7651.76
2024-01-09,7683.96
2024-01-08,7694.19
2024-01-05,7689.61
2024-01-04,7723.07
2024-01-03,7682.33
2024-01-02,7721.52
2023-12-29,7733.24
2023-12-28,7722.74
2023-12-27,7724.95
2023-12-22,7697.51
2023-12-21,7694.73
2023-12-20,7715.68
2023-12-19,7638.03
2023-12-18,7614.48
2023-12-15,7576.36
2023-12-14,7648.98
2023-12-13,7548.44
2023-12-12,7542.77
2023-12-11,7544.89
2023-12-08,7554.47
2023-12-07,7513.72
2023-12-06,7515.38
2023-12-05,7489.84
2023-12-04,7512.96
2023-12-01,7529.35
2023-11-30,7453.75
2023-11-29,7423.46
2023-11-28,7455.24
2023-11-27,7460.7
2023-11-24,7488.2
2023-11-23,7483.58
2023-11-22,7469.51
2023-11-21,7481.99
2023-11-20,7496.36
2023-11-17,7504.25
2023-11-16,7410.97
2023-11-15,7486.91
2023-11-14,7440.47
2023-11-13,7425.83
2023-11-10,7360.55
2023-11-09,7455.67
2023-11-08,7401.72
2023-11-07,7410.04
2023-11-06,7417.76
2023-11-03,7417.73
2023-11-02,7446.53
2023-11-01,7342.43
2023-10-31,7321.72
2023-10-30,7327.39
2023-10-27,7291.28
2023-10-26,7354.57
2023-10-25,7414.34
2023-10-24,7389.7
2023-10-23,7374.83
2023-10-20,7402.14
2023-10-19,7499.53
2023-10-18,7588.0
2023-10-17,7675.21
2023-10-16,7630.63
2023-10-13,7599.6
2023-10-12,7644.78
2023-10-11,7620.03
2023-10-10,7628.21
2023-10-09,7492.21
2023-10-06,7494.58
2023-10-05,7451.54
2023-10-04,7412.45
2023-10-03,7470.16
2023-10-02,7510.72
2023-09-29,7608.08
2023-09-28,7601.85
2023-09-27,7593.22
2023-09-26,7625.72
2023-09-25,7623.99
2023-09-22,7683.91
2023-09-21,7678.62
2023-09-20,7731.65
2023-09-19,7660.2
2023-09-18,7652.94
2023-09-15,7711.38
2023-09-14,7673.08
2023-09-13,7525.99
2023-09-12,7527.53
2023-09-11,7496.87
2023-09-08,7478.19
2023-09-07,7441.72
2023-09-06,7426.14
2023-09-05,7437.93
2023-09-04,7452.76
2023-09-01,7464.54
2023-08-31,7439.13
2023-08-30,7473.67
2023-08-29,7464.99
2023-08-25,7338.58
2023-08-24,7333.63
2023-08-23,7320.53
2023-08-22,7270.76
2023-08-21,7257.82
2023-08-18,7262.43
2023-08-17,7310.21
2023-08-16,7356.88
2023-08-15,7389.64
2023-08-14,7507.15
2023-08-11,7524.16
2023-08-10,7618.6
2023-08-09,7587.3
2023-08-08,7527.42
2023-08-07,7554.49
2023-08-04,7564.37
2023-08-03,7529.16
2023-08-02,7561.63
2023-08-01,7666.27
2023-07-31,7699.41
2023-07-28,7694.27
2023-07-27,7692.76
2023-07-26,7676.89
2023-07-25,7691.8
2023-07-24,7678.59
2023-07-21,7663.73
2023-07-20,7646.05
2023-07-19,7588.2
2023-07-18,7453.69
2023-07-17,7406.42
2023-07-14,7434.57
2023-07-13,7440.21
2023-07-12,7416.11
2023-07-11,7282.52
2023-07-10,7273.79
2023-07-07,7256.94
2023-07-06,7280.5
2023-07-05,7442.1
2023-07-04,7519.72
2023-07-03,7527.26
2023-06-30,7531.53
2023-06-29,7471.69
2023-06-28,7500.49
2023-06-27,7461.46
2023-06-26,7453.58
2023-06-23,7461.87
2023-06-22,7502.03
2023-06-21,7559.18
2023-06-20,7569.31
2023-06-19,7588.48
2023-06-16,7642.72
2023-06-15,7628.26
2023-06-14,7602.74
2023-06-13,7594.78
2023-06-12,7570.69
2023-06-09,7562.36
2023-06-08,7599.74
2023-06-07,7624.34
2023-06-06,7628.1
2023-06-05,7599.99
2023-06-02,7607.28
2023-06-01,7490.27
2023-05-31,7446.14
2023-05-30,7522.07
2023-05-26,7627.2
2023-05-25,7570.87
2023-05-24,7627.1
2023-05-23,7762.95
2023-05-22,7770.99
2023-05-19,7756.87
2023-05-18,7742.3
2023-05-17,7723.23
2023-05-16,7751.08
2023-05-15,7777.7
2023-05-12,7754.62
2023-05-11,7730.58
2023-05-10,7741.33
2023-05-09,7764.09
2023-05-05,7778.38
2023-05-04,7702.64
2023-05-03,7788.37
2023-05-02,7773.03
2023-04-28,7870.57
2023-04-27,7831.58
2023-04-26,7852.64
2023-04-25,7891.13
2023-04-24,7912.2
2023-04-21,7914.13
2023-04-20,7902.61
2023-04-19,7898.77
2023-04-18,7909.44
2023-04-17,7879.51
2023-04-14,7871.91
2023-04-13,7843.38
2023-04-12,7824.84
2023-04-11,7785.72
2023-04-06,7741.56
2023-04-05,7662.94
2023-04-04,7634.52
2023-04-03,7673.0
2023-03-31,7631.74
2023-03-30,7620.43
2023-03-29,7564.27
2023-03-28,7484.25
2023-03-27,7471.77
2023-03-24,7405.45
2023-03-23,7499.6
2023-03-22,7566.84
2023-03-21,7536.22
2023-03-20,7403.85
2023-03-17,7335.4
2023-03-16,7410.03
2023-03-15,7344.45
2023-03-14,7637.11
2023-03-13,7548.63
2023-03-10,7748.35
2023-03-09,7879.98
2023-03-08,7929.92
2023-03-07,7919.48
2023-03-06,7929.79
2023-03-03,7947.11
2023-03-02,7944.04
2023-03-01,7914.93
2023-02-28,7876.28
2023-02-27,7935.11
2023-02-24,7878.66
2023-02-23,7907.72
2023-02-22,7930.63
2023-02-21,7977.75
2023-02-20,8014.31
2023-02-17,8004.36
2023-02-16,8012.53
2023-02-15,7997.83
2023-02-14,7953.85
2023-02-13,7947.6
2023-02-10,7882.45
2023-02-09,7911.15
2023-02-08,7885.17
2023-02-07,7864.71
2023-02-06,7836.71
2023-02-03,7901.8
2023-02-02,7820.16
2023-02-01,7761.11
2023-01-31,7771.7
2023-01-30,7784.87
2023-01-27,7765.15
2023-01-26,7761.11
2023-01-25,7744.87
2023-01-24,7757.36
2023-01-23,7784.67
2023-01-20,7770.59
2023-01-19,7747.29
2023-01-18,7830.7
2023-01-17,7851.03
2023-01-16,7860.07
2023-01-13,7844.07
2023-01-12,7794.04
2023-01-11,7724.98
2023-01-10,7694.49
2023-01-09,7724.94
2023-01-06,7699.49
2023-01-05,7633.45
2023-01-04,7585.19
2023-01-03,7554.09
2022-12-30,7451.74
2022-12-29,7512.72
2022-12-28,7497.19
2022-12-23,7473.01
2022-12-22,7469.28
2022-12-21,7497.32
2022-12-20,7370.62
2022-12-19,7361.31
2022-12-16,7332.12
2022-12-15,7426.17
2022-12-14,7495.93
2022-12-13,7502.89
2022-12-12,7445.97
2022-12-09,7476.63
2022-12-08,7472.17
2022-12-07,7489.19
2022-12-06,7521.39
2022-12-05,7567.54
2022-12-02,7556.23
2022-12-01,7558.49
2022-11-30,7573.05
2022-11-29,7512.0
2022-11-28,7474.02
2022-11-25,7486.67
2022-11-24,7466.6
2022-11-23,7465.24
2022-11-22,7452.84
2022-11-21,7376.85
2022-11-18,7385.52
2022-11-17,7346.54
2022-11-16,7351.19
2022-11-15,7369.44
2022-11-14,7385.17
2022-11-11,7318.04
2022-11-10,7375.34
2022-11-09,7296.25
2022-11-08,7306.14
2022-11-07,7299.99
2022-11-04,7334.84
2022-11-03,7188.63
2022-11-02,7144.14
2022-11-01,7186.16
2022-10-31,7094.53
2022-10-28,7047.67
2022-10-27,7073.69
2022-10-26,7056.07
2022-10-25,7013.48
2022-10-24,7013.99
2022-10-21,6969.73
2022-10-20,6943.91
2022-10-19,6924.99
2022-10-18,6936.74
2022-10-17,6920.24
2022-10-14,6858.79
2022-10-13,6850.27
2022-10-12,6826.15
2022-10-11,6885.23
2022-10-10,6959.31
2022-10-07,6991.09
2022-10-06,6997.27
2022-10-05,7052.62
2022-10-04,7086.46
2022-10-03,6908.76
2022-09-30,6893.81
2022-09-29,6881.59
2022-09-28,7005.39
2022-09-27,6984.59
2022-09-26,7020.95
2022-09-23,7018.6
2022-09-22,7159.52
2022-09-21,7237.64
2022-09-20,7192.66
2022-09-16,7236.68
2022-09-15,7282.07
2022-09-14,7277.3
2022-09-13,7385.86
2022-09-12,7473.03
2022-09-09,7351.07
2022-09-08,7262.06
2022-09-07,7237.83
2022-09-06,7300.44
2022-09-05,7287.43
2022-09-02,7281.19
2022-09-01,7148.5
2022-08-31,7284.15
2022-08-30,7361.63
2022-08-26,7427.31
2022-08-25,7479.74
2022-08-24,7471.51
2022-08-23,7488.11
2022-08-22,7533.79
2022-08-19,7550.37
2022-08-18,7541.85
2022-08-17,7515.75
2022-08-16,7536.06
2022-08-15,7509.15
2022-08-12,7500.89
2022-08-11,7465.91
2022-08-10,7507.11
2022-08-09,7488.15
2022-08-08,7482.37
2022-08-05,7439.74
2022-08-04,7448.06
2022-08-03,7445.68
2022-08-02,7409.11
2022-08-01,7413.42
2022-07-29,7423.43
2022-07-28,7345.25
2022-07-27,7348.23
2022-07-26,7306.28
2022-07-25,7306.3
2022-07-22,7276.37
2022-07-21,7270.51
2022-07-20,7264.31
2022-07-19,7296.28
2022-07-18,7223.24
2022-07-15,7159.01
2022-07-14,7039.81
2022-07-13,7156.37
2022-07-12,7209.86
2022-07-11,7196.59
2022-07-08,7196.24
2022-07-07,7189.08
2022-07-06,7107.77
2022-07-05,7025.47
2022-07-04,7232.65
2022-07-01,7168.65
2022-06-30,7169.28
2022-06-29,7312.32
2022-06-28,7323.41
2022-06-27,7258.32
2022-06-24,7208.81
2022-06-23,7020.45
2022-06-22,7089.22
2022-06-21,7152.05
2022-06-20,7121.81
2022-06-17,7016.25
2022-06-16,7044.98
2022-06-15,7273.41
2022-06-14,7187.46
2022-06-13,7205.81
2022-06-10,7317.52
2022-06-09,7476.21
2022-06-08,7593.0
2022-06-07,7598.93
2022-06-06,7608.22
2022-06-01,7532.95
