Date,Price,Open,High,Low,Close
2009-04-08,3342.95,3255.35,3357.05,3149.25,3342.95
2009-04-09,3342.05,3346.0,3401.15,3307.05,3342.05
2009-04-13,3382.6,3342.2,3417.8,3334.15,3382.6
2009-04-15,3484.15,3381.45,3497.55,3311.8,3484.15
2009-04-16,3369.5,3484.35,3511.25,3354.2,3369.5
2009-04-17,3384.4,3369.5,3489.85,3359.25,3384.4
2009-04-20,3377.1,3384.75,3441.1,3339.45,3377.1
2009-04-21,3365.3,3376.85,3414.7,3309.35,3365.3
2009-04-22,3330.3,3364.6,3401.1,3296.9,3330.3
2009-04-23,3423.7,3330.5,3439.9,3310.5,3423.7
2009-04-24,3480.75,3423.6,3491.35,3402.9,3480.75
2009-04-27,3470.0,3481.3,3517.25,3435.3,3470.0
2009-04-28,3362.35,3469.5,3471.95,3351.5,3362.35
2009-04-29,3473.95,3371.65,3486.4,3366.7,3473.95
2009-05-04,3654.0,3478.7,3664.5,3478.7,3654.0
2009-05-05,3661.9,3664.5,3682.2,3618.75,3661.9
2009-05-06,3625.05,3662.0,3717.05,3608.65,3625.05
2009-05-07,3683.9,3617.15,3692.05,3617.15,3683.9
2009-05-08,3620.7,3681.8,3711.25,3582.85,3620.7
2009-05-11,3554.6,3615.75,3660.2,3534.55,3554.6
2009-05-12,3681.1,3554.65,3691.65,3534.2,3681.1
2009-05-13,3635.25,3668.75,3709.6,3610.2,3635.25
2009-05-14,3593.45,3631.9,3631.9,3537.6,3593.45
2009-05-15,3671.65,3597.85,3686.25,3597.85,3671.65
2009-05-18,4323.15,3673.15,4384.3,3673.15,4323.15
2009-05-19,4318.45,4324.95,4509.4,4167.65,4318.45
2009-05-20,4270.3,4318.75,4362.85,4244.7,4270.3
2009-05-21,4210.9,4270.35,4319.0,4199.2,4210.9
2009-05-22,4238.5,4211.85,4249.5,4155.85,4238.5
2009-05-25,4237.55,4238.1,4270.05,4205.1,4237.55
2009-05-26,4116.7,4239.55,4256.05,4092.25,4116.7
2009-05-27,4276.05,4117.3,4286.45,4115.25,4276.05
2009-05-28,4337.1,4276.15,4354.85,4254.85,4337.1
2009-05-29,4448.95,4340.75,4488.05,4340.75,4448.95
2009-06-01,4529.9,4450.4,4545.4,4450.4,4529.9
2009-06-02,4525.25,4530.45,4586.4,4451.3,4525.25
2009-06-03,4530.7,4525.5,4574.9,4478.6,4530.7
2009-06-04,4572.65,4530.3,4582.2,4453.45,4572.65
2009-06-05,4586.9,4573.3,4636.85,4561.95,4586.9
2009-06-08,4429.9,4582.35,4611.4,4404.65,4429.9
2009-06-09,4550.95,4427.75,4562.45,4365.1,4550.95
2009-06-10,4655.25,4551.7,4688.95,4551.7,4655.25
2009-06-11,4637.7,4657.4,4679.55,4586.15,4637.7
2009-06-12,4583.4,4637.55,4693.2,4566.15,4583.4
2009-06-15,4484.0,4584.65,4601.05,4469.6,4484.0
2009-06-16,4517.8,4478.1,4537.95,4405.95,4517.8
2009-06-17,4356.15,4515.35,4517.8,4332.8,4356.15
2009-06-18,4251.4,4352.95,4375.3,4222.15,4251.4
2009-06-19,4313.6,4251.1,4326.2,4206.7,4313.6
2009-06-22,4235.25,4314.2,4352.25,4221.9,4235.25
2009-06-23,4247.0,4223.3,4267.45,4143.25,4247.0
2009-06-24,4292.95,4247.3,4307.0,4218.25,4292.95
2009-06-25,4241.85,4293.85,4337.95,4221.15,4241.85
2009-06-26,4375.5,4243.95,4383.75,4243.95,4375.5
2009-06-29,4390.95,4375.4,4439.95,4350.9,4390.95
2009-06-30,4291.1,4391.5,4426.75,4267.35,4291.1
2009-07-01,4340.9,4292.3,4362.3,4249.7,4340.9
2009-07-02,4348.85,4373.5,4383.65,4288.75,4348.85
2009-07-03,4424.25,4347.3,4434.45,4298.95,4424.25
2009-07-06,4165.7,4429.6,4479.8,4133.7,4165.7
2009-07-07,4202.15,4166.0,4231.8,4155.5,4202.15
2009-07-08,4078.9,4201.85,4201.85,4061.1,4078.9
2009-07-09,4080.95,4078.75,4114.9,4039.85,4080.95
2009-07-10,4003.9,4081.4,4129.95,3976.8,4003.9
2009-07-13,3974.05,4003.4,4003.4,3918.75,3974.05
2009-07-14,4111.4,3974.1,4128.9,3974.1,4111.4
2009-07-15,4233.5,4120.8,4249.55,4118.75,4233.5
2009-07-16,4231.4,4223.5,4305.0,4205.5,4231.4
2009-07-17,4374.95,4231.45,4390.4,4230.15,4374.95
2009-07-20,4502.25,4377.9,4510.3,4377.9,4502.25
2009-07-21,4469.1,4501.5,4524.0,4436.6,4469.1
2009-07-22,4398.9,4469.3,4557.95,4380.45,4398.9
